N0001,N0001,93.22,95.47,95.47
N0002,N0001,61.77,62.83,62.83
N0003,N0001,57.29,58.55,58.55
N0004,N0001,50.38,47.63,47.63
N0005,N0001,33.6,36.65,36.65
N0006,N0001,57.36,67.27,67.27
N0007,N0001,42.5,52.31,52.31
N0008,N0001,30.1,36.88,36.88
N0009,N0001,18.22,26.27,26.27
N0010,N0001,57.49,55.67,55.67
N0011,N0001,43.13,46.22,46.22
N0012,N0001,33.38,35.55,35.55
N0013,N0001,21.19,27.79,27.79
N0014,N0001,69.7,95.47,62.83
N0015,N0001,65.97,58.55,95.47
N0016,N0001,58.35,95.47,47.63
N0017,N0001,56.04,95.47,36.65
N0018,N0001,88,95.47,67.27
N0019,N0001,85.47,95.47,52.31
N0020,N0001,84.26,36.88,95.47
N0021,N0001,85.02,95.47,26.27
N0022,N0001,76.9,95.47,55.67
N0023,N0001,64.14,46.22,95.47
N0024,N0001,51.6,95.47,35.55
N0025,N0001,38.01,27.79,95.47
N0026,N0001,57.23,47.63,62.83
N0027,N0001,52.42,62.83,36.65
N0028,N0001,48.98,36.65,58.55
N0029,N0001,56.16,36.88,67.27
N0030,N0001,56.92,26.27,67.27
N0031,N0001,37.5,52.31,26.27
N0032,N0001,42.35,35.55,55.67
N0033,N0001,35.5,27.79,55.67
N0034,N0001,31.77,27.79,46.22
N0035,N0001,58.78,58.55,67.27
N0036,N0001,52.96,46.22,67.27
N0037,N0001,33.63,62.83,27.79
N0038,N0001,62.78,62.83,52.31
N0039,N0001,57.32,52.31,55.67
N0040,N0001,43.97,35.55,58.55
N0041,N0001,48.54,36.88,47.63
N0042,N0001,50.89,46.22,36.88
N0043,N0001,28.93,47.63,27.79
N0044,N0001,56.56,58.55,26.27
N0045,N0001,35.82,26.27,35.55
N0046,N0001,35.68,35.55,36.65
N0047,N0047,97.73,97.85,97.85
N0048,N0047,65.09,67.15,67.15
N0049,N0047,62.66,63.33,63.33
N0050,N0047,50.6,50.48,50.48
N0051,N0047,38.48,40.05,40.05
N0052,N0047,60.69,68.48,68.48
N0053,N0047,44.35,53.65,53.65
N0054,N0047,33.67,42.95,42.95
N0055,N0047,21.11,28.72,42.95
N0056,N0047,55.44,51.49,51.49
N0057,N0047,41.63,41.69,41.69
N0058,N0047,29.29,35.16,35.16
N0059,N0047,15.35,26.74,26.74
N0060,N0047,72.47,97.85,67.15
N0061,N0047,70.91,63.33,97.85
N0062,N0047,65.01,50.48,97.85
N0063,N0047,62.87,97.85,40.05
N0064,N0047,93.48,68.48,97.85
N0065,N0047,90.48,97.85,53.65
N0066,N0047,90.25,97.85,42.95
N0067,N0047,90.16,42.95,97.85
N0068,N0047,81.91,51.49,97.85
N0069,N0047,56.3,97.85,41.69
N0070,N0047,46.42,35.16,97.85
N0071,N0047,30.86,97.85,26.74
N0072,N0047,59.86,50.48,67.15
N0073,N0047,56.27,67.15,40.05
N0074,N0047,50.41,63.33,40.05
N0075,N0047,59.14,42.95,68.48
N0076,N0047,59.55,42.95,68.48
N0077,N0047,43.71,42.95,53.65
N0078,N0047,38.93,35.16,51.49
N0079,N0047,28.17,51.49,26.74
N0080,N0047,25.35,41.69,26.74
N0081,N0047,62.45,68.48,67.15
N0082,N0047,47.63,68.48,41.69
N0083,N0047,65.57,51.49,67.15
N0084,N0047,60.94,53.65,67.15
N0085,N0047,20.09,26.74,53.65
N0086,N0047,58.07,63.33,51.49
N0087,N0047,60.21,42.95,67.15
N0088,N0047,30.9,35.16,42.95
N0089,N0047,46.81,50.48,41.69
N0090,N0047,58.73,42.95,67.15
N0091,N0047,38.6,42.95,41.69
N0092,N0047,30.81,40.05,35.16
N0093,N0093,87.51,87.02,87.02
N0094,N0093,59.97,61.99,61.99
N0095,N0093,52.08,55.38,55.38
N0096,N0093,48.7,49.61,49.61
N0097,N0093,36,37.99,37.99
N0098,N0093,49.6,52.87,52.87
N0099,N0093,30.46,39.7,39.7
N0100,N0093,20.97,28.01,28.01
N0101,N0093,14.26,23.46,23.46
N0102,N0093,44.92,52.35,52.35
N0103,N0093,37.47,44.5,44.5
N0104,N0093,31.09,35.69,35.69
N0105,N0093,17.56,24.26,24.26
N0106,N0093,66.49,87.02,61.99
N0107,N0093,56.47,55.38,87.02
N0108,N0093,56.35,49.61,87.02
N0109,N0093,48.98,37.99,87.02
N0110,N0093,76.19,52.87,87.02
N0111,N0093,77.82,87.02,39.7
N0112,N0093,78.69,87.02,28.01
N0113,N0093,71.31,23.46,87.02
N0114,N0093,57.89,87.02,52.35
N0115,N0093,56.72,44.5,87.02
N0116,N0093,44.94,87.02,35.69
N0117,N0093,30.37,87.02,24.26
N0118,N0093,49.11,49.61,61.99
N0119,N0093,45.18,37.99,61.99
N0120,N0093,46.76,55.38,37.99
N0121,N0093,41.1,28.01,52.87
N0122,N0093,43.74,52.87,23.46
N0123,N0093,26.21,39.7,23.46
N0124,N0093,40.43,52.35,35.69
N0125,N0093,29.99,24.26,52.35
N0126,N0093,28.28,24.26,44.5
N0127,N0093,41.66,52.87,37.99
N0128,N0093,50.09,52.87,52.35
N0129,N0093,58.36,52.35,61.99
N0130,N0093,49.76,55.38,39.7
